2026-04-16 05:25:04 status half-installed libtinfo6:amd64 6.5+20250216-2
2026-04-16 05:25:04 status unpacked libtinfo6:amd64 6.5+20250216-2
2026-04-16 05:25:04 install libudev1:amd64 <none> 257.9-1~deb13u1
2026-04-16 05:25:04 status half-installed libudev1:amd64 257.9-1~deb13u1
2026-04-16 05:25:04 status unpacked libudev1:amd64 257.9-1~deb13u1
2026-04-16 05:25:04 install libuuid1:amd64 <none> 2.41-5
2026-04-16 05:25:04 status half-installed libuuid1:amd64 2.41-5
2026-04-16 05:25:04 status unpacked libuuid1:amd64 2.41-5
2026-04-16 05:25:04 install libxxhash0:amd64 <none> 0.8.3-2
2026-04-16 05:25:04 status half-installed libxxhash0:amd64 0.8.3-2
2026-04-16 05:25:04 status unpacked libxxhash0:amd64 0.8.3-2
2026-04-16 05:25:05 install libzstd1:amd64 <none> 1.5.7+dfsg-1
2026-04-16 05:25:05 status half-installed libzstd1:amd64 1.5.7+dfsg-1
2026-04-16 05:25:05 status unpacked libzstd1:amd64 1.5.7+dfsg-1
2026-04-16 05:25:05 install login:amd64 <none> 1:4.16.0-2+really2.41-5
2026-04-16 05:25:05 status half-installed login:amd64 1:4.16.0-2+really2.41-5
2026-04-16 05:25:05 status unpacked login:amd64 1:4.16.0-2+really2.41-5
2026-04-16 05:25:05 install login.defs:all <none> 1:4.17.4-2
2026-04-16 05:25:05 status half-installed login.defs:all 1:4.17.4-2
2026-04-16 05:25:05 status unpacked login.defs:all 1:4.17.4-2
2026-04-16 05:25:05 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2026-04-16 05:25:05 status half-configured mawk:amd64 1.3.4.20250131-1
2026-04-16 05:25:05 status unpacked mawk:amd64 1.3.4.20250131-1
2026-04-16 05:25:05 status half-installed mawk:amd64 1.3.4.20250131-1
2026-04-16 05:25:05 status unpacked mawk:amd64 1.3.4.20250131-1
2026-04-16 05:25:05 install mount:amd64 <none> 2.41-5
2026-04-16 05:25:05 status half-installed mount:amd64 2.41-5
2026-04-16 05:25:05 status unpacked mount:amd64 2.41-5
2026-04-16 05:25:05 install ncurses-base:all <none> 6.5+20250216-2
2026-04-16 05:25:05 status half-installed ncurses-base:all 6.5+20250216-2
2026-04-16 05:25:05 status unpacked ncurses-base:all 6.5+20250216-2
2026-04-16 05:25:05 install ncurses-bin:amd64 <none> 6.5+20250216-2
2026-04-16 05:25:05 status half-installed ncurses-bin:amd64 6.5+20250216-2
2026-04-16 05:25:05 status unpacked ncurses-bin:amd64 6.5+20250216-2
2026-04-16 05:25:05 install openssl-provider-legacy:amd64 <none> 3.5.5-1~deb13u1
2026-04-16 05:25:05 status half-installed openssl-provider-legacy:amd64 3.5.5-1~deb13u1
2026-04-16 05:25:05 status unpacked openssl-provider-legacy:amd64 3.5.5-1~deb13u1
2026-04-16 05:25:05 install passwd:amd64 <none> 1:4.17.4-2
2026-04-16 05:25:05 status half-installed passwd:amd64 1:4.17.4-2
2026-04-16 05:25:06 status unpacked passwd:amd64 1:4.17.4-2
2026-04-16 05:25:06 upgrade perl-base:amd64 5.40.1-6 5.40.1-6
2026-04-16 05:25:06 status half-configured perl-base:amd64 5.40.1-6
2026-04-16 05:25:06 status unpacked perl-base:amd64 5.40.1-6
2026-04-16 05:25:06 status half-installed perl-base:amd64 5.40.1-6
2026-04-16 05:25:07 status unpacked perl-base:amd64 5.40.1-6
2026-04-16 05:25:07 install sed:amd64 <none> 4.9-2
2026-04-16 05:25:07 status half-installed sed:amd64 4.9-2
2026-04-16 05:25:07 status unpacked sed:amd64 4.9-2
2026-04-16 05:25:07 install sqv:amd64 <none> 1.3.0-3+b2
2026-04-16 05:25:07 status half-installed sqv:amd64 1.3.0-3+b2
2026-04-16 05:25:07 status unpacked sqv:amd64 1.3.0-3+b2
2026-04-16 05:25:07 install sysvinit-utils:amd64 <none> 3.14-4
2026-04-16 05:25:07 status half-installed sysvinit-utils:amd64 3.14-4
2026-04-16 05:25:07 status unpacked sysvinit-utils:amd64 3.14-4
2026-04-16 05:25:07 install tar:amd64 <none> 1.35+dfsg-3.1
2026-04-16 05:25:07 status half-installed tar:amd64 1.35+dfsg-3.1
2026-04-16 05:25:08 status unpacked tar:amd64 1.35+dfsg-3.1
